"Add to Wishlist","Add to Wishlist"
"Check items to add to the cart or","Check items to add to the cart or"
"Customers Who Viewed This Also Viewed","Customers Who Viewed This Also Viewed"
"Enabled","Enabled"
"General Options","General Options"
"Lifetime in minutes","Lifetime in minutes"
"No","No"
"Products to display","Products to display"
"select all","select all"
"Session lifetime","Session lifetime"
"Show products from one category only","Show products from one category only"
"unselect all","unselect all"
"Who viewed this also viewed","Who viewed this also viewed"
"Yes","Yes"
